Index	Start	End	Move	ClientAppName	ConnectionName	ClientInstance	ServerAppName	ServerInstance	ExtraData	RunId																
114	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE ASX IOS_SPTMIOSPLUS13→ASXTI ASX_SPTMIOSPLUS13	IOSPLUSTE	ASX	IOS_SPTMIOSPLUS13	ASXTI	ASX_SPTMIOSPLUS13		1																
115	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE ASXTI IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSTE	ASXTI	IOS_SPTMIOSPLUS13	NULL	NULL		1																
116	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE CXA IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSTE	CXA	IOS_SPTMIOSPLUS13	NULL	NULL		1																
117	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE STRATEGYTI IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSTE	STRATEGYTI	IOS_SPTMIOSPLUS13	NULL	NULL		1																
118	SPTM-IOS6	SPTM-IOS6	IOSPLUSTE UPLOAD IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSTE	UPLOAD	IOS_SPTMIOSPLUS13	NULL	NULL		1																
119	SPTMMASTERDB1	SPTMMASTERDB1	Phoenix ChainableTrades →NULL NULL	Phoenix	ChainableTrades		NULL	NULL		17																
120	SPTMMASTERDB1	SPTMMASTERDB1	Phoenix DatabaseSyncEventManager →NULL NULL	Phoenix	DatabaseSyncEventManager		NULL	NULL		17																
121	SPTMMASTERDB1	SPTMMASTERDB1	Phoenix Depth →NULL NULL	Phoenix	Depth		NULL	NULL		17																
122	SPTMMASTERDB1	127.0.0.1	Phoenix ORH →NULL NULL	Phoenix	ORH		NULL	NULL		17																
123	SPTMMASTERDB1	SPTMMASTERDB1	Phoenix PriceExtra →NULL NULL	Phoenix	PriceExtra		NULL	NULL		17																
124	SPTMMASTERDB1	SPTMMASTERDB1	Phoenix Quote →NULL NULL	Phoenix	Quote		NULL	NULL		17																
125	SPTMMASTERDB1	127.0.0.1	Phoenix SecID →NULL NULL	Phoenix	SecID		NULL	NULL	phoenix	17																
